what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1423801683940
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1423801686114
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801718379
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801718475
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801718545
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801721865
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801780589
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801804360
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1423801808060
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1423801822944
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1423801826069
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801843560
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801864449
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1423801869949
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1423801940106
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423801945573
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423802022207
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423802023427
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423802073806
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1423802075757
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1423802077492
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1423802078396
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423802081002
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1423802089815
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1423802115660
